# WGS-84. World datum: 47.397971057728974, 8.546163739800146, elevation 0 m.
# +X is east, +Y is north. Both groups use yaw 0 degrees (their local +Y points north).
record_type,group,dictionary,marker_id,marker_size_m,world_east_m,world_north_m,world_up_m,latitude_deg,longitude_deg,elevation_m
group_center,aruco_land_1,DICT_4X4_1000,,,0.000,0.000,0.000,47.397971057729,8.546163739800,0.000
marker,aruco_land_1,DICT_4X4_1000,100,0.675,0.000,0.000,0.000,47.397971057729,8.546163739800,0.000
marker,aruco_land_1,DICT_4X4_1000,101,0.050,0.170,0.170,0.000,47.397972586800,8.546165991771,0.000
marker,aruco_land_1,DICT_4X4_1000,102,0.050,-0.050,0.170,0.000,47.397972586800,8.546163077456,0.000
marker,aruco_land_1,DICT_4X4_1000,109,0.050,0.050,-0.170,0.000,47.397969528658,8.546164402145,0.000
marker,aruco_land_1,DICT_4X4_1000,113,0.050,-0.160,-0.170,0.000,47.397969528658,8.546161620298,0.000
marker,aruco_land_1,DICT_4X4_1000,120,0.030,0.000,-0.025,0.000,47.397970832866,8.546163739800,0.000
marker,aruco_land_1,DICT_4X4_1000,241,0.030,-0.030,-0.065,0.000,47.397970473084,8.546163342393,0.000
marker,aruco_land_1,DICT_4X4_1000,243,0.030,0.030,-0.065,0.000,47.397970473084,8.546164137207,0.000
group_center,aruco_land_2,DICT_4X4_50,,,1000.000,0.000,0.000,47.397970292377,8.559410629834,0.000
marker,aruco_land_2,DICT_4X4_50,0,0.400,1000.000,0.000,0.000,47.397970292377,8.559410629834,0.000
marker,aruco_land_2,DICT_4X4_50,1,0.130,1000.355,0.355,0.000,47.397973484894,8.559415333280,0.000
marker,aruco_land_2,DICT_4X4_50,2,0.130,999.645,0.355,0.000,47.397973485981,8.559405927988,0.000
marker,aruco_land_2,DICT_4X4_50,3,0.130,999.645,-0.355,0.000,47.397967099860,8.559405926388,0.000
marker,aruco_land_2,DICT_4X4_50,4,0.130,1000.355,-0.355,0.000,47.397967098773,8.559415331679,0.000
marker,aruco_land_2,DICT_4X4_50,5,0.035,1000.000,0.290,0.000,47.397972900793,8.559410630488,0.000
marker,aruco_land_2,DICT_4X4_50,6,0.035,1000.290,0.000,0.000,47.397970291933,8.559414471432,0.000
marker,aruco_land_2,DICT_4X4_50,7,0.035,1000.000,-0.290,0.000,47.397967683962,8.559410629180,0.000
marker,aruco_land_2,DICT_4X4_50,8,0.035,999.710,0.000,0.000,47.397970292821,8.559406788236,0.000
